Town_City,County,"Capital, Establishments Reporting","Aggregate Capital, Manufacturers",Average Capital per Manufacturer,"Value of Raw Materials, Establishments Reporting","Aggregate Value of Raw Materials, Manufacturers",Average Value of Raw Materials per Manufacturer,"Value of Products, Establishments Reporting","Aggregate Value of Products, Manufacturers",Average Value of Products per Manufacturer
New York State,All ,9470 (54.04%),"$119,378,310","$12,606",8042 (45.90%),"$113,449,645","$14,107",8428 (48.10%),"$224,497,106","$26,637"
Albany,Albany,155,"$4,334,500","$27,965",132,"$4,907,745","$37,180",147,"$9,108,428","$61,962"
Berne,Albany,5,"$4,150",$830,4,$796,$199,5,"$4,637",$927
Bethlehem,Albany,1,$450,$450,1,$315,$315,1,"$1,292","$1,292"
Coeymans,Albany,16,"$30,125","$1,883",17,"$20,015","$1,177",18,"$39,650","$2,203"
Guilderland,Albany,6,"$8,300","$1,383",4,"$2,500",$625,4,"$7,560","$1,890"
Knox,Albany,0,$0,,0,$0,,0,$0,
New Scotland,Albany,0,$0,,0,$0,,0,$0,
Rensselaerville,Albany,9,"$8,250",$917,9,"$5,626",$625,7,"$9,505","$1,358"
Watervilet,Albany,60,"$3,029,300","$50,488",55,"$3,189,445","$57,990",54,"$6,355,700","$117,698"
Westerlo,Albany,8,"$5,600",$700,7,"$7,234","$1,033",7,"$11,239","$1,606"
Alfred,Allegany,3,"$1,475",$492,1,"$1,300","$1,300",1,"$2,700","$2,700"
Allen,Allegany,1,$500,$500,2,$150,$75,1,$500,$500
Alma,Allegany,3,"$3,000","$1,000",0,$0,,3,"$6,200","$2,067"
Almond,Allegany,2,"$30,600","$15,300",2,"$16,200","$8,100",2,"$49,000","$24,500"
Amity,Allegany,6,"$22,950","$3,825",6,"$24,746","$4,124",7,"$33,990","$4,856"
Andover,Allegany,7,"$9,800","$1,400",7,"$4,525",$646,7,"$12,500","$1,786"
Angelica,Allegany,3,"$7,000","$2,333",3,"$4,100","$1,367",3,"$9,700","$3,233"
Belfast,Allegany,4,"$6,200","$1,550",4,"$2,350",$588,5,"$9,100","$1,820"
Birdsall,Allegany,0,$0,,0,$0,,0,$0,
