Town_City,County,Sub_Class ,Class,"Capital, Establishments Reporting","Capital, Amount","Value of Raw Materials, Establishments Reporting","Value of Raw Materials, Amount","Value of Products, Establishments Reporting","Value of Products, Amount",Establishments Using Steam Power,Establishments Using Water or Horse Power
Watervilet,Albanu,Hollow Ware,2,1,"$25,000",1,"$30,000",1,"$50,000",1,0
Albany,Albany,Butchering,22,1,$400,0,NA,1,"$1,825",0,0
Albany,Albany,Cigars,22,4,"$1,950",4,"$3,375",4,"$13,500",0,0
Albany,Albany,Meat Packing and Curing,22,1,"$100,000",1,"$150,000",0,NA,0,0
Albany,Albany,Refrigerators,22,0,NA,1,$500,1,"$1,000",0,0
Albany,Albany,Tobacco,22,5,"$155,200",5,"$313,350",5,"$453,850",3,0
Albany,Albany,Balmoral Skirts and Skirtings,21,1,$800,1,"$1,000",1,"$2,000",0,0
Albany,Albany,Clothing,21,1,$200,1,"$1,000",1,"$1,500",0,0
Albany,Albany,Drums,19,1,"$3,000",1,"$2,000",1,"$5,000",0,0
Albany,Albany,Jewelry,18,1,"$4,500",0,NA,1,"$8,000",1,0
Albany,Albany,Piano Fortes,18,3,"$75,500",3,"$59,000",2,"$131,000",1,0
Albany,Albany,Picture and Mirror Frames,18,1,"$5,000",0,NA,1,"$4,500",1,0
Albany,Albany,Printing and Publishing,18,1,"$50,000",1,"$130,000",1,"$150,000",2,0
Albany,Albany,Cabinet Ware,17,1,"$3,500",1,"$1,300",1,"$3,000",0,0
Albany,Albany,Boots and Shoes,16,3,"$16,200",3,"$16,900",3,"$92,000",1,0
Albany,Albany,"Harnesses, Saddles, and Trunks",16,4,"$9,400",4,"$7,550",4,"$11,084",0,0
Albany,Albany,"Lasts, Boot-Trees, and Crimps",16,1,"$12,000",1,"$1,860",1,"$18,000",1,0
Albany,Albany,Leather Dressers,16,1,"$16,100",1,"$7,000",1,"$12,000",1,0
Albany,Albany,Brick,15,3,"$16,000",0,NA,3,"$21,875",1,2
Albany,Albany,Fire Brick and Retorts,15,1,"$150,000",1,"$45,000",1,"$75,000",1,0
Albany,Albany,Lime and Cement,15,1,"$35,000",1,"$10,000",1,"$79,000",1,0
Albany,Albany,Looking Glasses,15,0,NA,0,NA,0,NA,1,0
Albany,Albany,Marble,15,3,"$8,600",2,"$7,000",3,"$14,800",1,0
Albany,Albany,Plaster,15,1,"$15,000",1,$300,2,"$10,800",2,0
Albany,Albany,Potteries,15,2,"$2,000",1,$500,1,"$5,000",0,1
Albany,Albany,Tiles,15,1,"$2,000",0,NA,1,"$12,000",0,1
Albany,Albany,Carpenter Shops,14,5,"$15,100",4,"$8,900",4,"$16,000",0,0
Albany,Albany,Cooper Shops,14,2,"$2,200",3,"$16,400",3,"$24,500",0,0
Albany,Albany,Kindling Wood,14,2,"$9,000",2,"$7,800",2,"$11,500",1,1
Albany,Albany,Patterns,14,1,"$4,000",1,"$5,000",1,"$15,000",0,0
Albany,Albany,Planes,14,1,"$8,000",1,"$1,000",1,"$5,000",1,0
Albany,Albany,Toys,14,1,"$2,500",1,$650,1,"$3,000",1,0
Albany,Albany,Feed Mills,13,1,"$10,000",1,"$32,000",1,"$44,000",1,0
Albany,Albany,Car Wheels,10,1,"$75,000",1,"$224,700",1,"$249,000",0,0
Albany,Albany,Coaches and Wagons,10,11,"$161,750",8,"$96,289",10,"$206,375",1,0
Albany,Albany,House Building,9,2,"$10,400",1,"$3,000",2,"$108,000",0,0
Albany,Albany,"Sash, Blinds, and Doors",9,1,"$4,000",1,"$7,500",1,"$20,000",1,0
Albany,Albany,Barometers and Thermometers,8,1,$700,1,$400,0,NA,0,0
Albany,Albany,Steam Boilers,6,2,"$5,000",2,"$4,575",2,"$10,080",0,0
Albany,Albany,Steam Engines and Boilers,6,2,"$95,000",2,"$30,595",2,"$130,000",2,0
Albany,Albany,Stoves,5,6,"$895,000",6,"$402,000",6,"$1,225,000",6,0
Albany,Albany,Bakeries,4,6,"$27,700",4,"$91,400",4,"$30,800",1,0
Albany,Albany,Breweries,4,11,"$646,200",12,"$1,016,649",12,"$1,466,921",8,0
Albany,Albany,Candles and Soap,4,6,"$62,000",6,"$67,115",6,"$98,873",3,0
Albany,Albany,"Coffee, Spice, and Mustard",4,2,"$47,000",0,NA,0,NA,0,0
Albany,Albany,Confectionery ,4,1,"$2,500",1,"$13,500",1,"$31,250",0,0
Albany,Albany,Distilleries,4,1,"$200,000",1,"$1,000,000",1,"$2,000,000",1,0
Albany,Albany,Drugs and Medicines,4,1,"$6,500",1,"$5,000",1,"$8,000",0,0
Albany,Albany,Gas,4,1,"$250,000",1,"$114,952",1,"$218,200",1,0
Albany,Albany,Glue,4,1,"$8,000",1,"$16,000",1,"$20,000",1,0
Albany,Albany,Malt,4,12,"$340,000",10,"$375,071",11,"$728,688",3,0
Albany,Albany,Mineral Water,4,1,"$3,000",1,"$1,030",1,"$2,050",0,0
Albany,Albany,Oil Cloth,4,1,"$5,000",1,"$48,000",1,"$50,000",1,0
Albany,Albany,Paints and Glazing,4,2,"$2,200",1,"$1,500",2,"$6,000",0,0
Albany,Albany,"Card Board, Printing Carrds, and Fancy Paper",3,1,"$100,000",0,NA,1,"$140,000",1,0
Albany,Albany,Rope and Twine,3,3,"$7,000",3,"$9,141",3,"$14,392",0,0
Albany,Albany,Blacksmithing,2,4,$900,2,$500,4,"$5,420",0,0
Albany,Albany,Brass and Copper Ware,2,1,"$6,500",1,"$4,800",1,"$14,000",1,0
Albany,Albany,Gas Meteres,2,1,"$21,500",1,"$8,537",1,"$30,000",1,0
Albany,Albany,Gold Leaf,2,1,"$3,000",0,NA,0,NA,0,0
Albany,Albany,Hames,2,1,"$1,500",1,$260,1,"$3,500",0,0
Albany,Albany,Hollow Ware,2,1,"$106,000",1,"$150,000",1,"$300,000",1,0
Albany,Albany,Iron Foundries,2,2,"$15,000",2,"$40,950",2,"$76,200",2,0
Albany,Albany,Machinery,2,4,"$117,000",4,"$40,914",4,"$54,000",3,0
Albany,Albany,Malleable Iron,2,1,"$30,000",1,"$26,000",1,"$75,400",1,0
Albany,Albany,Saddlery and Coach Hardware,2,2,"$105,000",1,"$54,825",2,"$140,000",2,0
Albany,Albany,Safes,2,1,"$85,000",1,"$54,825",1,"$100,000",1,0
Albany,Albany,Silver Plating,2,1,"$8,000",1,"$3,106",1,"$7,094",0,0
